"year","Measures","Contra.Costa.County..California","Marin.County..California","San.Mateo.County..California","Ventura.County..California","Santa.Clara.County..California","Douglas.County..Colorado","District.of.Columbia","DuPage.County..Illinois","Lake.County..Illinois","Hamilton.County..Indiana","Johnson.County..Kansas","Oakland.County..Michigan","Dakota.County..Minnesota","Washington.County..Minnesota","Bergen.County..New.Jersey","Middlesex.County..New.Jersey","Monmouth.County..New.Jersey","Morris.County..New.Jersey","Somerset.County..New.Jersey","Nassau.County..New.York","Rockland.County..New.York","Suffolk.County..New.York","Westchester.County..New.York","Bucks.County..Pennsylvania","Chester.County..Pennsylvania","Montgomery.County..Pennsylvania","Collin.County..Texas","Fort.Bend.County..Texas","Arlington.County..Virginia","Fairfax.County..Virginia","Loudoun.County..Virginia","Prince.William.County..Virginia","Waukesha.County..Wisconsin","Anne.Arundel.County..Maryland","Baltimore.County..Maryland","Frederick.County..Maryland","Howard.County..Maryland","Montgomery.County..Maryland","Prince.George.s.County..Maryland"
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...35.000.to..49.999..30.percent.or.more",703,345,366,228,958,70,267,943,929,99,172,779,41,28,3997,1938,2045,1727,998,8320,1065,6691,4385,882,556,1224,391,188,129,522,89,49,287,275,310,72,195,619,242
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...50.000.to..74.999.",9949,2883,6930,6315,13959,1656,3603,11219,7068,2471,5789,16341,4857,3029,11543,9697,7795,6243,3237,18923,3318,19565,10024,9514,5537,10672,6354,5147,1443,7163,1191,1882,6038,5478,11394,2399,2238,8156,5929
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...50.000.to..74.999..Less.than.20.percent",8798,2396,6117,5910,11971,1564,3177,9097,4861,2448,5477,14855,4712,2904,4266,5826,4239,2673,1615,6130,1237,8288,3734,7862,4459,8772,5439,4536,1197,6110,1013,1772,5523,5120,10576,2276,1979,6346,5321
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...50.000.to..74.999..20.to.29.percent",978,292,560,347,1731,85,286,1798,1658,23,239,1195,137,110,5123,3344,2732,2611,1222,7865,1543,8094,3284,1396,887,1606,763,533,203,885,92,110,385,344,738,123,244,1533,527
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...50.000.to..74.999..30.percent.or.more",173,195,253,58,257,7,140,324,549,0,73,291,8,15,2154,527,824,959,400,4928,538,3183,3006,256,191,294,152,78,43,168,86,0,130,14,80,0,15,277,81
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...75.000.or.more.",21074,8710,17438,13580,40744,5440,11599,29165,18625,5819,15108,31487,9002,6171,33548,22807,22564,19088,12401,60522,9842,53060,35259,20463,15414,26439,20939,16098,4980,28848,4658,6000,12449,13363,20041,5181,8303,28756,12378
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...75.000.or.more..Less.than.20.percent",20760,8417,17023,13283,39807,5425,11246,28565,17326,5779,15017,30911,8997,6148,30217,21953,20721,17624,11324,51773,8869,47466,29423,20067,15096,25834,20620,15668,4919,28514,4549,5964,12320,13271,19855,5166,8258,28009,12333
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...75.000.or.more..20.to.29.percent",291,204,335,257,811,15,293,498,972,0,58,468,5,23,2895,825,1581,1263,953,7180,851,5028,4684,337,259,489,288,387,46,323,67,36,111,92,169,15,45,596,43
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...75.000.or.more..30.percent.or.more",23,89,80,40,126,0,60,102,327,40,33,108,0,0,436,29,262,201,124,1569,122,566,1152,59,59,116,31,43,15,11,42,0,18,0,17,0,0,151,2
"2012","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged..Zero.or.negative.income",392,273,353,450,997,113,316,526,340,59,304,1119,157,84,740,652,437,335,71,850,310,1354,511,497,230,490,426,490,21,237,56,122,197,294,452,126,69,398,338
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Total..",247843,64596,153318,173340,350367,83925,111070,250115,183009,81811,151705,347761,116922,72319,220018,185879,175948,136296,90063,355915,68701,397731,212542,179645,139815,225139,197559,150628,42654,269167,83100,95506,118038,148360,208904,65037,78490,242592,189759
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..",190388,46937,113076,134506,260696,72330,86433,184039,138925,67147,115830,251333,91929,56147,148976,130452,125454,98669,66272,234917,47905,279465,143763,125898,103082,160831,154814,113461,34003,219645,74162,83096,84571,115104,148416,51404,63593,189428,159965
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..",6298,1591,2873,4355,6710,1489,3738,5369,4617,1910,2942,11002,2399,1360,4388,3578,3881,1971,1811,5621,1309,7623,3260,3327,2434,4210,3790,3538,631,4204,1051,1602,2358,3768,5233,1074,773,3976,5072
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..Less.than.20.percent.",0,0,20,0,10,0,8,17,17,0,0,16,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,9,0,0,0,8,34,0,0,14,0
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..20.to.29.percent.",58,0,11,51,21,28,48,0,10,7,13,64,0,4,0,0,0,0,0,16,0,10,0,12,28,0,0,0,0,0,12,4,6,13,38,0,0,0,53
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..30.percent.or.more.",6240,1591,2842,4304,6679,1461,3682,5352,4590,1903,2929,10922,2399,1356,4388,3578,3881,1971,1811,5605,1309,7613,3240,3315,2406,4210,3790,3538,631,4195,1039,1598,2352,3747,5161,1074,773,3962,5019
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..",8781,2104,4560,7273,9378,2532,4128,10858,7808,3389,5488,18259,5084,2770,6196,5990,5820,3819,2331,8652,1747,13312,5340,6042,4666,7758,7214,6844,634,5954,1125,2877,3991,4934,9055,2295,1996,6725,8112
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..Less.than.20.percent.",270,28,73,155,95,18,65,211,50,172,132,331,78,46,47,17,18,25,0,53,10,74,207,71,76,50,98,55,0,52,0,10,31,77,157,98,20,62,78
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..20.to.29.percent.",255,14,115,212,311,64,144,252,260,220,379,1320,293,193,34,108,104,46,26,66,66,242,346,152,153,466,278,334,12,211,45,71,245,322,548,107,135,212,140
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..30.percent.or.more.",8256,2062,4372,6906,8972,2450,3919,10395,7498,2997,4977,16608,4713,2531,6115,5865,5698,3748,2305,8533,1671,12996,4787,5819,4437,7242,6838,6455,622,5691,1080,2796,3715,4535,8350,2090,1841,6451,7894
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..",12422,2550,5339,9174,12928,4205,5451,14458,11182,5829,7973,23207,7783,4603,7631,7827,7329,4455,3541,11577,2496,16826,6846,9495,6603,10874,10734,8880,933,9019,2506,4595,5550,7237,12568,3348,2344,9752,12225
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..Less.than.20.percent.",494,46,118,265,456,91,235,367,350,431,374,1616,376,300,119,52,171,123,34,269,54,129,326,304,204,296,352,203,21,138,117,122,297,455,570,197,81,201,342
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..20.to.29.percent.",839,116,397,638,891,375,721,1587,955,1751,1804,5483,1452,869,382,468,475,230,242,485,150,620,609,1028,726,1550,1178,1225,77,1014,240,517,1030,851,2118,549,295,862,704
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..30.percent.or.more.",11089,2388,4824,8271,11581,3739,4495,12504,9877,3647,5795,16108,5955,3434,7130,7307,6683,4102,3265,10823,2292,16077,5911,8163,5673,9028,9204,7452,835,7867,2149,3956,4223,5931,9880,2602,1968,8689,11179
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..",26654,4459,12718,19314,27118,8745,11162,28697,22044,10963,19639,43194,16601,9447,17306,19030,15673,10120,7432,26029,5340,36635,16021,20619,13566,24014,21384,17396,2969,20606,6387,9658,14077,16532,26764,7525,5972,20843,27811
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..Less.than.20.percent.",2148,220,767,1321,1780,554,1261,2231,1337,2211,2745,8135,2219,1145,487,921,667,471,323,1344,198,1034,2011,1431,1037,2284,1696,1656,130,1307,311,598,1523,1558,3640,909,304,967,1417
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..20.to.29.percent.",5081,603,1543,3858,3923,2541,3069,7997,6213,5029,9136,17000,6771,3684,1903,3153,2705,1227,1301,1888,623,4043,1939,6085,3635,7159,7998,6032,647,4641,1517,2595,4980,4199,9546,2270,1334,4358,6143
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..30.percent.or.more.",19425,3636,10408,14135,21415,5650,6832,18469,14494,3723,7758,18059,7611,4618,14916,14956,12301,8422,5808,22797,4519,31558,12071,13103,8894,14571,11690,9708,2192,14658,4559,6465,7574,10775,13578,4346,4334,15518,20251
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...75.000.or.more..",135678,35969,87144,94041,203467,55143,61466,123954,92812,44833,79361,154637,59801,37824,112935,93696,92378,78105,50974,182460,36940,203940,111828,86155,75425,113558,110773,76205,28729,179233,62969,64189,58467,82198,94216,36996,52425,147677,106196
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...75.000.or.more..Less.than.20.percent.",46975,12317,28951,33250,69722,28354,31391,53964,40763,29415,49076,90809,33322,20740,37456,34402,32027,28363,19373,55774,12190,60671,41096,37710,36600,56231,61799,43859,14504,89452,23886,29554,31109,38994,50374,16667,24208,69496,41897
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...75.000.or.more..20.to.29.percent.",46507,11598,27221,32114,67337,18916,19557,46966,33097,12135,24348,45960,21143,13038,36871,34334,33648,27587,17598,59657,12258,73268,33413,32312,26044,39831,38339,24126,9277,57516,24062,23220,20587,28888,31221,14097,18611,48216,37643
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...75.000.or.more..30.percent.or.more.",42196,12054,30972,28677,66408,7873,10518,23024,18952,3283,5937,17868,5336,4046,38608,24960,26703,22155,14003,67029,12492,70001,37319,16133,12781,17496,10635,8220,4948,32265,15021,11415,6771,14316,12621,6232,9606,29965,26656
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Zero.or.negative.income.",555,264,442,349,1095,216,488,703,462,223,427,1034,261,143,520,331,373,199,183,578,73,1129,468,260,388,417,919,598,107,629,124,175,128,435,580,166,83,455,549
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged..",57455,17659,40242,38834,89671,11595,24637,66076,44084,14664,35875,96428,24993,16172,71042,55427,50494,37627,23791,120998,20796,118266,68779,53747,36733,64308,42745,37167,8651,49522,8938,12410,33467,33256,60488,13633,14897,53164,29794
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged..Less.than..20.000..",7541,1691,4142,5498,9254,1000,3191,6812,4494,1216,3676,14052,2829,1905,7654,5957,5602,2985,2087,10936,2151,13038,6921,6561,4191,7566,3525,4166,542,3283,415,967,3455,3774,8753,1731,931,4234,3203
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged..Less.than..20.000..Less.than.20.percent.",872,181,441,911,1357,148,342,239,282,171,292,835,282,163,204,113,180,116,42,312,11,274,609,192,191,416,225,456,27,216,49,138,162,211,718,113,19,181,98
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged..Less.than..20.000..20.to.29.percent.",1307,245,800,927,1520,138,457,484,383,378,570,2086,395,468,172,173,177,40,40,409,119,386,303,644,335,785,382,508,18,382,22,88,284,487,1507,265,143,182,328
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged..Less.than..20.000..30.percent.or.more.",5362,1265,2901,3660,6377,714,2392,6089,3829,667,2814,11131,2152,1274,7278,5671,5245,2829,2005,10215,2021,12378,6009,5725,3665,6365,2918,3202,497,2685,344,741,3009,3076,6528,1353,769,3871,2777
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...20.000.to..34.999..",9106,2312,5662,6304,11950,1340,3025,9200,6828,2490,4992,16884,3689,2145,9792,8336,7218,4262,3045,15567,2404,16516,8383,8856,5483,9661,5206,4687,535,3760,811,1244,5314,4928,10309,2326,1267,4835,3795
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...20.000.to..34.999..Less.than.20.percent.",4385,707,2712,3144,5939,559,1410,1536,1616,1276,1734,5802,1498,989,523,363,743,394,143,1247,191,1026,1237,1451,1088,1966,1635,1792,56,924,317,390,1094,1768,4703,1046,271,978,809
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...20.000.to..34.999..20.to.29.percent.",2066,506,1205,1766,2653,483,761,3350,1790,860,2225,6281,1322,838,798,1433,1197,536,392,1785,352,2381,764,2928,1768,3266,1657,1256,152,1011,162,502,2515,1645,3359,818,366,1460,1583
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...20.000.to..34.999..30.percent.or.more.",2655,1099,1745,1394,3358,298,854,4314,3422,354,1033,4801,869,318,8471,6540,5278,3332,2510,12535,1861,13109,6382,4477,2627,4429,1914,1639,327,1825,332,352,1705,1515,2247,462,630,2397,1403
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...35.000.to..49.999..",7719,2015,4766,5711,10344,1074,2733,7844,5897,1860,4841,13831,3770,2221,7990,6809,5402,3926,2184,13351,2059,14285,7313,7408,4514,8356,4391,4178,790,4129,1016,1469,5230,4007,8471,1537,1385,4921,3457
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...35.000.to..49.999..Less.than.20.percent.",5419,1166,3573,4257,7551,818,2013,3410,2670,1513,3919,9497,3003,1947,967,1113,1353,772,365,1919,454,2847,1621,3257,2417,4206,2801,3044,327,2292,582,1135,3370,2801,6559,1207,707,2234,2209
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...35.000.to..49.999..20.to.29.percent.",1602,475,830,1203,1742,186,447,3304,2295,232,708,3668,663,245,2684,3501,2233,1588,955,3368,644,4549,1662,3185,1510,2904,1191,943,304,1259,338,250,1488,932,1543,244,496,1955,980
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...35.000.to..49.999..30.percent.or.more.",698,374,363,251,1051,70,273,1130,932,115,214,666,104,29,4339,2195,1816,1566,864,8064,961,6889,4030,966,587,1246,399,191,159,578,96,84,372,274,369,86,182,732,268
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...50.000.to..74.999..",9956,2722,7045,6233,14604,1826,3865,11793,7153,2494,6318,17022,4972,3123,11118,9488,7894,6393,3484,18433,3414,19708,9599,9474,5889,11102,6898,5579,1376,7334,1243,1988,6112,5823,11295,2438,2227,8034,5827
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...50.000.to..74.999..Less.than.20.percent.",8666,2258,6108,5779,12212,1728,3355,9409,4909,2470,5907,15470,4803,3003,4037,5577,4277,2627,1753,5869,1350,7770,3272,7737,4670,8948,5921,4927,1158,6176,1072,1858,5591,5372,10500,2299,1909,6233,5330
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...50.000.to..74.999..20.to.29.percent.",1131,287,638,375,1999,91,376,1993,1663,24,345,1236,159,101,5037,3432,2693,2779,1256,7714,1506,8494,3082,1514,996,1782,783,590,183,954,93,130,410,438,701,139,295,1496,479
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...50.000.to..74.999..30.percent.or.more.",159,177,299,79,393,7,134,391,581,0,66,316,10,19,2044,479,924,987,475,4850,558,3444,3245,223,223,372,194,62,35,204,78,0,111,13,94,0,23,305,18
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...75.000.or.more..",22715,8688,18270,14673,42402,6263,11435,29660,19318,6459,15761,33563,9548,6712,33720,24169,23931,19732,12905,61747,10503,53576,36050,20977,16454,27022,22186,18191,5357,30751,5391,6654,13126,14382,21159,5475,9012,30724,13232
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...75.000.or.more..Less.than.20.percent.",22306,8373,17739,14404,41589,6242,11096,29071,18192,6426,15667,32950,9532,6688,30341,23238,21960,18327,11672,52870,9315,47854,29899,20533,16153,26376,21840,17598,5297,30461,5273,6612,12973,14277,20945,5461,8969,29993,13187
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...75.000.or.more..20.to.29.percent.",340,225,434,247,668,21,298,507,775,0,61,466,9,21,2854,886,1658,1191,1107,7281,1052,5134,4820,381,275,549,273,534,37,273,72,42,132,93,189,14,43,582,44
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged...75.000.or.more..30.percent.or.more.",69,90,97,22,145,0,41,82,351,33,33,147,7,3,525,45,313,214,126,1596,136,588,1331,63,26,97,73,59,23,17,46,0,21,12,25,0,0,149,1
"2013","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Not.mortgaged..Zero.or.negative.income.",418,231,357,415,1117,92,388,767,394,145,287,1076,185,66,768,668,447,329,86,964,265,1143,513,471,202,601,539,366,51,265,62,88,230,342,501,126,75,416,280
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Total..",247153,64490,153322,172637,350103,85040,111198,248836,181664,83206,152020,347091,116845,72540,217432,183878,174727,135820,89848,354515,67926,393936,212162,179188,139572,223624,199496,156145,43157,267156,84662,96757,118176,149541,207603,64897,78764,241626,189940
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..",188698,46741,112025,132275,257886,72734,85988,180371,134701,67442,114230,246724,90227,55247,145958,127712,123208,97917,64922,232456,47410,275950,142537,123865,101660,158425,152526,114787,34077,215602,74565,83274,83901,116250,145830,51232,63310,185967,158914
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..",6062,1570,2846,4310,6562,1524,3731,5499,4408,1773,2949,10726,2383,1458,4385,3478,3929,2141,1859,5817,1280,7960,3380,3449,2695,4299,3581,3609,600,4242,961,1470,2319,3531,5071,951,810,4090,5551
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..Less.than.20.percent.",29,0,24,0,15,0,5,32,17,0,0,18,13,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,11,0,0,0,9,31,0,0,12,0
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..20.to.29.percent.",68,0,8,73,35,34,49,0,5,6,42,50,0,3,13,0,12,0,0,35,0,9,0,21,34,11,0,0,0,0,11,4,7,18,61,0,0,0,57
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..30.percent.or.more.",5965,1570,2814,4237,6512,1490,3677,5467,4386,1767,2907,10658,2370,1455,4372,3478,3917,2141,1859,5782,1280,7936,3362,3428,2661,4288,3581,3609,600,4231,950,1466,2312,3504,4979,951,810,4078,5494
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..",8462,2013,4195,7205,9630,2699,3865,10677,7554,3388,5274,16917,4787,2543,6034,6113,5760,3796,2363,8709,1749,13238,5040,6027,4260,7295,6620,6967,740,5925,1176,2642,4251,4833,8875,2375,2004,6626,7967
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..Less.than.20.percent.",225,27,96,101,99,57,53,225,56,176,138,371,126,39,38,16,55,17,0,69,13,80,158,91,110,24,82,80,0,68,10,24,27,82,175,95,31,58,51
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..20.to.29.percent.",203,0,95,165,329,100,162,282,219,249,392,1367,251,144,24,139,134,50,26,54,53,285,296,145,123,387,298,334,23,187,65,111,238,370,479,92,143,227,181
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..30.percent.or.more.",8034,1986,4004,6939,9202,2542,3650,10170,7279,2963,4744,15179,4410,2360,5972,5958,5571,3729,2337,8586,1683,12873,4586,5791,4027,6884,6240,6553,717,5670,1101,2507,3986,4381,8221,2188,1830,6341,7735
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..",12470,2477,5291,8654,12248,3997,4886,14319,10636,5627,8098,22555,7201,4263,8012,7552,6863,4193,3731,11423,2437,16179,6803,8962,6585,10408,10049,8821,909,8166,2649,4585,5600,7217,11798,3287,2293,9310,12237
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..Less.than.20.percent.",406,34,123,263,397,92,262,392,399,440,407,1645,292,328,108,51,172,118,40,288,47,302,317,274,177,339,419,277,21,124,58,121,263,404,722,126,93,189,375
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..20.to.29.percent.",837,128,344,695,818,435,723,1509,953,1671,1872,5588,1473,878,406,498,380,281,251,489,135,612,668,870,719,1377,1326,1169,66,940,248,425,914,865,2160,560,212,677,717
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..30.percent.or.more.",11227,2315,4824,7696,11033,3470,3901,12418,9284,3516,5819,15322,5436,3057,7498,7003,6311,3794,3440,10646,2255,15265,5818,7818,5689,8692,8304,7375,822,7102,2343,4039,4423,5948,8916,2601,1988,8444,11145
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..",25802,4299,11880,18724,26001,8722,10599,27393,20649,10482,18713,42225,16233,9040,16695,18150,15026,10132,6842,24849,5047,35420,15300,19493,13502,23545,20840,17266,2525,19500,6162,9961,13248,16535,26272,7619,6028,20120,27363
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..Less.than.20.percent.",1986,156,769,1494,1898,502,1361,2268,1523,2146,2720,9008,2603,1209,598,1108,691,452,409,1308,201,1138,1836,1374,1096,2210,1794,1791,101,1306,424,773,1506,1776,3496,952,383,1005,1528
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..20.to.29.percent.",5220,533,1355,3885,3783,2695,3146,7929,5669,4940,8594,17057,6560,3699,1660,2810,2600,1393,1146,1673,615,3957,2154,5500,3408,6868,8232,6102,671,4564,1512,2692,4834,4129,9478,2212,1353,4730,6197
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..30.percent.or.more.",18596,3610,9756,13345,20320,5525,6092,17196,13457,3396,7399,16160,7070,4132,14437,14232,11735,8287,5287,21868,4231,30325,11310,12619,8998,14467,10814,9373,1753,13630,4226,6496,6908,10630,13298,4455,4292,14385,19638
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...75.000.or.more..",135386,36152,87406,92897,202460,55545,62453,121893,90905,45936,78784,153384,59316,37839,110253,92111,91257,77410,49953,180997,36821,202098,111432,85625,74275,112449,110593,77444,29212,177179,63506,64501,58304,83609,93191,36813,52063,145388,105229
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...75.000.or.more..Less.than.20.percent.",50202,13276,31067,35102,75071,29964,33435,56573,42001,31764,49953,96365,35217,21848,37409,35532,33410,29053,19884,57316,11824,62818,42212,39099,37340,57473,64296,45855,15227,91864,26541,31428,32011,40943,52312,17473,24475,70207,45296
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...75.000.or.more..20.to.29.percent.",47524,11514,27688,31781,67166,18419,19668,44208,31902,11286,23216,42039,19059,12384,37535,33473,33274,27086,17203,60026,12507,73917,32864,31799,25248,39027,36416,23838,9491,56094,23544,23060,20287,29656,29854,13855,18819,47605,37146
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...75.000.or.more..30.percent.or.more.",37660,11362,28651,26014,60223,7162,9350,21112,17002,2886,5615,14980,5040,3607,35309,23106,24573,21271,12866,63655,12490,65363,36356,14727,11687,15949,9881,7751,4494,29221,13421,10013,6006,13010,11025,5485,8769,27576,22787
"2014","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Zero.or.negative.income.",516,230,407,485,985,247,454,590,549,236,412,917,307,104,579,308,373,245,174,661,76,1055,582,309,343,429,843,680,91,590,111,115,179,525,623,187,112,433,567
